SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O,-1.0,-8.3,-10.9,-10.1,-11.9,-3.6,0.0,0.0,-6.2,-8.6,-5.6,-9.3,-5.4,-11.6,0.0,-8.8,-9.6,-11.6,-10.6,-7.1,-6.8,-9.2,-8.5,-7.8,-9.8,-8.6,-7.7,-8.1,-10.2,-9.9,-9.0,-8.9,-9.3,-0.9,0.0,-9.5,-9.4,-9.5,0.0,-11.4,-7.8,-2.4,-9.5,-9.9
C=CC(C)(C)c1[nH]c2c3c(ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O)OC(C)(C)C=C3,-3.8,-10.5,-9.2,-10.3,-10.9,-10.6,-2.6,-7.3,-6.9,-7.4,-5.0,-10.6,-11.6,-11.2,0.0,-8.9,-8.3,-11.0,-9.0,-10.3,-6.6,-10.1,-11.6,-8.8,-10.3,-9.7,-11.3,-10.8,-10.0,-10.6,-9.6,-9.8,-8.7,-9.1,-5.3,-9.4,-9.2,-10.7,0.0,-11.4,-8.2,-8.8,-9.6,-8.7
CCOC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)c2c(c1O)C(=O)O[C@H](C)C2,-9.3,-9.2,-8.4,-9.5,-10.3,-9.7,-6.9,-6.3,-8.6,-8.0,-7.8,-9.1,-11.0,-9.6,0.0,-7.9,-8.6,-9.7,-9.4,-8.8,-5.6,-9.1,-9.7,-7.6,-8.7,-8.1,-10.1,-8.8,-9.1,-9.6,-8.8,-11.1,-7.3,-7.3,-7.1,-8.0,-7.7,-9.5,-3.5,-9.4,-7.1,-7.4,-10.0,-7.3
COC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)c2c(c1OC)C(=O)O[C@H](C)C2,-7.7,-8.3,-8.0,-8.5,-9.3,-8.9,-5.4,-4.3,-9.2,-5.9,-6.6,-8.2,-10.1,-9.3,0.0,-8.2,-8.2,-9.0,-9.5,-9.1,-5.3,-8.7,-8.4,-7.1,-8.3,-7.9,-8.2,-8.3,-8.4,-8.5,-7.8,-10.3,-6.6,-8.1,-5.3,-7.8,-7.5,-8.9,-0.9,-9.1,-7.3,-8.0,-9.0,-7.1
COc1ccc2c3c([nH]c2c1)[C@H](CC(C)(C)O)N1C(=O)[C@@H]2CCCN2C(=O)[C@]1(O)[C@H]3O,-5.2,-8.2,-8.5,-9.1,-8.7,-2.8,0.0,-0.1,-9.3,-6.6,-4.0,-8.8,-7.5,-9.1,0.0,-7.7,-7.5,-9.6,-7.9,-8.1,-6.0,-8.6,-7.1,-7.6,-8.5,-7.2,-8.1,-7.7,-8.8,-8.0,-8.0,-9.3,-7.1,-6.0,-2.3,-8.7,-8.2,-9.3,0.0,-9.4,-7.2,-5.1,-7.8,-7.7
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]2(O)[C@@H](/C=C/C[C@H](C)C(=O)[C@H](C)O)[C@@H]1O,-7.4,-8.7,-8.1,-9.2,-8.5,-5.1,-2.9,-7.9,-7.6,-7.3,-4.5,-7.4,-10.8,-9.0,0.0,-8.2,-7.9,-10.0,-9.4,-9.6,-5.6,-7.4,-10.4,-7.1,-8.1,-7.7,-7.2,-8.7,-9.0,-8.6,-7.7,-9.4,-7.0,-9.6,-5.0,-8.2,-7.8,-8.5,-1.4,-9.7,-6.8,-7.5,-9.5,-6.9
CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](O)[C@@]2(C)[C@]12CO2,-8.9,-7.1,-7.0,-8.5,-7.8,-6.5,-1.6,-4.3,-8.4,-6.5,-5.2,-6.8,-8.4,-9.0,0.0,-7.0,-7.2,-9.1,-8.9,-6.7,-5.3,-7.0,-6.7,-6.4,-7.3,-6.8,-6.5,-6.8,-8.1,-8.0,-6.5,-6.5,-6.6,-7.7,-3.8,-7.4,-7.6,-7.8,0.0,-8.7,-6.2,-4.9,-7.8,-6.9
CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](O)[C@@]2(C)[C@@]12CO2,-8.1,-8.0,-7.3,-7.8,-8.1,-6.9,-1.2,-1.8,-8.2,-5.7,-4.8,-7.2,-7.6,-9.0,0.0,-7.0,-7.5,-8.9,-7.9,-7.1,-5.2,-6.9,-6.2,-6.8,-7.4,-7.0,-7.6,-6.7,-8.2,-7.4,-7.1,-6.6,-6.5,-7.7,-3.9,-7.1,-7.5,-7.9,0.0,-8.3,-6.8,-5.1,-7.5,-6.5
COc1cc(C)c2c(OC)cc(=O)oc2c1-c1c(OC)c2c(C)cc(O)cc2oc1=O,-6.8,-8.5,-9.5,-8.4,-9.0,-7.1,0.0,-2.9,-7.2,-6.8,-4.0,-8.5,-9.8,-9.2,0.0,-7.9,-7.6,-10.3,-9.5,-6.5,-6.1,-9.0,-6.8,-7.6,-7.9,-7.8,-10.2,-8.7,-9.9,-9.3,-7.9,-7.4,-7.2,-3.7,-2.9,-8.8,-8.2,-8.6,0.0,-9.5,-7.2,-4.4,-7.8,-7.3
COc1cc(C)c2c(OC)cc(=O)oc2c1-c1c(O)cc2oc(=O)cc(OC)c2c1C,-6.7,-8.3,-8.5,-8.4,-9.1,-8.1,0.0,-2.4,-6.9,-7.3,-5.2,-8.1,-8.4,-10.0,0.0,-8.4,-7.6,-10.4,-9.0,-6.3,-6.1,-9.8,-4.8,-7.5,-8.7,-8.0,-9.7,-8.9,-9.6,-9.5,-8.7,-8.8,-7.5,-3.1,-2.4,-8.4,-7.8,-8.8,0.0,-8.8,-7.0,-5.3,-6.5,-7.3
