SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]12CO2,-8.4,-7.4,-6.6,-8.1,-7.7,-5.9,0.0,-5.7,-8.2,-5.9,-5.2,-7.7,-9.4,-7.7,0.0,-6.9,-8.0,-8.4,-7.3,-8.3,-5.4,-6.1,-7.0,-6.3,-7.0,-6.5,-6.6,-7.9,-7.6,-7.4,-6.9,-6.4,-6.2,-7.3,-4.7,-7.5,-6.8,-7.1,-2.8,-8.5,-5.8,-6.5,-7.7,-7.1
CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,-7.8,-7.4,-6.9,-7.3,-7.4,-4.9,0.0,-4.4,-8.1,-6.0,-4.8,-6.7,-8.8,-7.2,0.0,-6.7,-8.5,-8.3,-8.5,-7.3,-4.6,-6.2,-6.3,-6.6,-6.4,-6.5,-6.6,-6.2,-8.3,-7.3,-7.1,-7.0,-6.6,-7.6,-4.6,-7.3,-6.7,-7.1,-0.9,-8.2,-5.7,-5.3,-8.0,-6.0
COc1ccc(-c2cc(OC)c3c(oc4cc(O)c(O)cc43)c2OC)cc1,-7.4,-7.8,-8.7,-9.0,-9.9,-10.0,-9.8,-2.4,-8.6,-7.6,-6.2,-8.3,-9.4,-10.2,0.0,-8.0,-7.9,-9.5,-9.8,-9.4,-6.3,-8.7,-8.2,-8.4,-8.3,-8.4,-9.7,-8.5,-8.8,-9.5,-9.5,-9.4,-7.2,-6.9,-4.7,-8.3,-7.8,-8.5,-5.9,-8.9,-6.7,-6.6,-7.8,-7.2
CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1C(=O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,-7.7,-7.3,-7.3,-8.2,-8.0,-7.0,0.0,-4.9,-7.8,-5.5,-6.0,-7.3,-9.3,-8.7,0.0,-7.1,-7.7,-8.3,-8.2,-7.3,-5.1,-6.7,-5.3,-6.6,-7.1,-6.9,-5.9,-7.4,-8.1,-7.1,-6.3,-7.0,-6.3,-7.6,-3.6,-7.7,-7.4,-7.4,-0.6,-8.1,-6.2,-6.0,-8.3,-6.7
CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@@]3(O)N=C(C)O[C@H]3[C@@]2(C)[C@]12CO2,-8.7,-7.6,-7.3,-9.1,-8.8,-5.1,0.0,-6.6,-8.5,-6.8,-6.0,-7.1,-10.0,-7.9,0.0,-7.9,-7.5,-9.5,-8.3,-8.5,-5.3,-6.9,-6.5,-6.7,-7.6,-6.5,-5.8,-7.6,-8.6,-7.6,-7.4,-7.0,-6.8,-6.0,-2.1,-7.9,-7.8,-7.9,0.0,-8.4,-6.4,-5.3,-8.1,-7.8
CO[C@]12CCCC[C@@H]1[C@H]1O[C@H](C)[C@@H](C)c3c(C)c(O)c(C(=O)O)c(c31)O2,-5.1,-8.8,-8.7,-8.6,-9.2,-8.3,-4.5,0.0,-8.0,-6.9,-5.8,-7.9,-9.8,-10.4,0.0,-7.3,-8.2,-9.2,-7.9,-8.9,-6.5,-8.2,-10.2,-7.6,-8.4,-7.4,-7.9,-9.8,-8.4,-8.8,-7.6,-8.3,-7.8,-8.8,-6.7,-7.8,-8.7,-9.2,-3.2,-9.8,-7.1,-8.5,-8.6,-7.1
CON1C(=O)[C@H]2NC(=O)[C@]13Oc1cc(O)c(Cl)cc1[C@@H]3SS2,-8.4,-7.5,-7.8,-7.8,-7.3,-4.9,-3.9,-3.0,-8.4,-6.3,-5.6,-7.1,-8.9,-7.8,0.0,-6.6,-7.7,-8.7,-8.3,-8.1,-5.4,-6.2,-6.9,-6.8,-7.3,-6.4,-6.3,-7.1,-8.1,-8.4,-6.8,-6.7,-6.4,-8.1,-4.5,-7.7,-7.2,-7.1,-2.7,-8.7,-5.9,-5.8,-7.7,-7.2
CC1=CC[C@@H](O)CC(=O)[C@@]23C(=O)N[C@@H](CC(C)C)[C@@H]2[C@H](C)C(C)=C[C@@H]3C1,-9.3,-8.0,-7.6,-9.3,-8.4,-5.2,0.0,-2.9,-8.5,-7.3,-4.5,-8.4,-8.5,-9.2,0.0,-7.6,-8.5,-10.0,-8.4,-8.2,-6.2,-7.4,-3.5,-7.7,-7.6,-7.7,-5.3,-8.3,-8.4,-8.1,-8.5,-7.4,-7.0,-7.3,-2.6,-8.4,-8.6,-8.9,0.0,-10.3,-6.6,-6.2,-8.9,-7.1
CC1=CC[C@H](O)CC(=O)[C@@]23C(=O)N[C@@H](CC(C)C)[C@@H]2[C@H](C)C(C)=C[C@@H]3C1,-8.5,-7.7,-7.5,-9.9,-9.0,-4.3,0.0,-3.0,-10.6,-6.4,-5.5,-8.0,-7.3,-8.5,0.0,-8.1,-8.9,-10.1,-8.4,-5.7,-6.5,-7.7,-3.8,-7.5,-8.1,-7.4,-6.5,-8.6,-8.8,-8.4,-7.2,-6.8,-7.6,-7.1,0.0,-8.1,-7.9,-8.2,0.0,-9.5,-7.0,-4.7,-8.4,-7.7
CC1=CCC(=O)CC(=O)[C@@]23C(=O)N[C@@H](CC(C)C)[C@@H]2[C@H](C)C(C)=C[C@@H]3C1,-8.3,-7.9,-7.2,-8.9,-8.8,-5.9,0.0,-1.9,-8.6,-6.7,-5.0,-8.0,-10.3,-8.1,0.0,-8.1,-8.5,-9.7,-9.3,-7.4,-6.8,-7.5,-3.7,-6.8,-8.6,-7.2,-6.5,-8.6,-9.8,-8.1,-7.6,-6.6,-7.4,-4.5,-1.9,-8.1,-8.5,-8.3,0.0,-10.4,-6.8,-8.0,-7.4,-7.3
CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(C)c(C=O)c1O,-7.7,-8.0,-6.8,-8.8,-8.6,-8.7,-8.5,-7.8,-8.5,-7.4,-7.7,-7.7,-9.2,-8.8,0.0,-6.9,-7.6,-8.6,-8.3,-8.1,-5.4,-8.6,-10.0,-8.2,-8.0,-8.1,-8.3,-8.2,-7.5,-7.5,-7.7,-8.8,-6.9,-8.4,-7.8,-7.1,-6.5,-8.2,-6.9,-8.9,-6.2,-6.8,-8.3,-5.8
CS[C@]1(CO)C(=O)N2[C@H]3C(=CC=C[C@@H]3O)C[C@@]2(SC)C(=O)N1C,-7.4,-6.3,-7.0,-7.8,-7.5,-5.6,0.0,-1.8,-7.5,-5.9,-5.4,-6.5,-8.0,-6.8,0.0,-6.3,-6.9,-7.9,-6.9,-6.7,-5.0,-6.6,-5.3,-6.3,-6.6,-6.3,-5.3,-7.5,-7.5,-7.1,-6.9,-6.4,-5.8,-6.5,-3.7,-7.1,-6.4,-7.0,-1.8,-7.6,-5.2,-4.9,-6.9,-5.9
COc1cc([C@H]2C[C@H]3O[C@H](C)[C@@H](C)c4c(C)c(O)cc(c43)O2)ccc1O,-7.0,-8.7,-10.0,-10.4,-10.2,-10.1,-6.4,-5.6,-9.2,-7.7,-8.9,-9.8,-11.0,-10.0,0.0,-8.5,-9.0,-9.8,-9.6,-9.2,-6.3,-9.4,-11.3,-8.9,-9.0,-8.9,-11.1,-10.2,-9.5,-10.7,-9.4,-11.6,-8.3,-8.8,-4.0,-8.5,-8.5,-9.3,-5.7,-10.7,-7.8,-7.8,-9.8,-7.6
CCCCCC(=O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2,-9.2,-8.2,-8.5,-9.4,-9.7,-9.5,-8.5,-7.2,-8.4,-9.8,-7.0,-7.9,-10.1,-8.6,0.0,-7.4,-7.3,-9.2,-9.4,-8.5,-5.5,-9.5,-9.4,-7.9,-8.5,-8.8,-9.6,-8.8,-9.0,-8.7,-8.4,-10.5,-7.4,-8.4,-6.8,-8.6,-7.2,-8.7,-2.1,-9.2,-7.2,-7.7,-8.6,-6.7
COc1ccc(O)c2oc3c4c(cc(OC)c3c(=O)c12)O[C@H]1OCC[C@@H]41,-6.5,-8.2,-9.3,-9.3,-9.5,-9.3,-7.3,-2.4,-9.2,-8.1,-5.7,-9.0,-11.1,-9.5,0.0,-8.2,-8.3,-10.0,-9.4,-8.7,-6.0,-8.9,-8.6,-8.3,-8.5,-8.3,-10.1,-8.6,-9.4,-10.0,-8.2,-8.9,-8.0,-7.6,-6.1,-8.7,-7.9,-8.9,-2.5,-9.8,-7.1,-6.0,-7.9,-6.7
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C[C@H](OC)O[C@@H]1O2,-8.1,-8.9,-10.4,-9.6,-9.6,-10.0,-7.5,-6.6,-9.0,-10.2,-5.5,-8.6,-9.3,-9.9,0.0,-8.5,-8.2,-9.5,-9.8,-9.8,-6.4,-9.3,-10.3,-7.9,-8.8,-8.7,-10.2,-10.5,-10.2,-9.5,-8.4,-9.7,-8.8,-8.0,-6.2,-8.6,-8.2,-9.0,-6.5,-9.4,-7.4,-6.3,-9.1,-7.1
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C[C@@H](OC)O[C@@H]1O2,-8.7,-8.9,-10.5,-9.5,-10.3,-10.6,-6.5,-7.2,-9.4,-10.4,-8.2,-8.8,-9.0,-10.1,0.0,-8.6,-9.1,-9.4,-9.3,-9.4,-6.5,-9.2,-10.6,-8.5,-8.5,-9.0,-10.3,-9.9,-9.7,-9.7,-8.3,-9.8,-8.3,-8.2,-7.5,-8.7,-8.1,-9.8,-6.1,-9.4,-7.2,-7.2,-10.3,-7.5
CC(C)[C@H](NC(=O)c1cc(Cl)c2c(c1O)C(=O)O[C@H](C)C2)C(=O)O,-8.8,-8.6,-7.6,-10.0,-9.3,-9.8,-9.2,-5.7,-7.7,-7.7,-6.9,-8.2,-9.8,-8.3,0.0,-7.3,-8.1,-9.2,-8.8,-8.2,-5.8,-9.7,-9.6,-6.8,-8.1,-7.8,-8.7,-8.0,-8.0,-8.5,-7.9,-9.0,-6.9,-7.4,-7.2,-8.4,-7.4,-8.4,-3.3,-8.9,-6.4,-7.6,-7.9,-6.7
CC(=O)O[C@@H]1[C@@H](O)[C@H]2O[C@@H]3C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@]1(C)[C@]21CO1,-8.2,-7.4,-8.0,-8.4,-8.0,-5.9,-1.0,-4.8,-8.1,-7.1,-5.7,-7.0,-8.3,-8.2,0.0,-6.7,-6.9,-7.9,-8.3,-7.5,-4.8,-6.7,-7.2,-6.3,-6.8,-6.0,-5.9,-8.2,-8.1,-7.6,-7.1,-7.5,-6.5,-7.4,-5.8,-7.0,-7.3,-7.7,-3.1,-8.5,-5.9,-6.8,-7.6,-7.9
CC(=O)O[C@@H]1[C@@H](O)[C@H]2O[C@@H]3C=C(C)C(=O)[C@H](O)[C@]3(CO)[C@]1(C)[C@]21CO1,-8.3,-7.1,-6.8,-7.4,-7.9,-5.5,0.0,-3.7,-7.4,-6.4,-5.8,-6.5,-9.4,-7.4,0.0,-6.6,-7.3,-8.5,-8.7,-7.1,-4.9,-6.3,-6.0,-6.5,-6.7,-5.8,-5.3,-7.5,-8.0,-7.4,-7.0,-6.7,-6.2,-4.3,-1.9,-7.4,-7.2,-6.6,0.0,-8.2,-6.4,-3.7,-7.5,-7.2
COc1ccc(O)c2oc3c4c(cc(OC)c3c(=O)c12)O[C@H]1OC=C[C@@H]41,-6.9,-8.3,-9.3,-8.9,-9.5,-9.6,-6.9,-2.1,-8.9,-8.1,-5.5,-9.1,-11.1,-9.5,0.0,-8.2,-8.4,-10.1,-9.4,-8.8,-5.9,-8.8,-8.4,-8.7,-8.4,-8.2,-10.1,-9.0,-9.4,-9.9,-8.1,-9.1,-8.0,-7.7,-6.1,-8.9,-7.9,-8.6,-4.5,-9.9,-7.2,-6.2,-7.9,-6.9
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@@H]1O4,-6.5,-8.4,-8.9,-9.8,-9.3,-9.1,-4.9,-1.8,-9.1,-7.8,-6.7,-8.8,-10.3,-9.7,0.0,-7.7,-8.1,-9.4,-8.1,-9.4,-5.6,-8.8,-8.4,-7.7,-8.4,-8.3,-9.6,-9.5,-8.8,-9.5,-8.0,-9.8,-8.0,-9.3,-6.8,-8.3,-8.1,-9.0,-4.3,-10.3,-7.1,-7.6,-8.0,-7.3
COc1c(-c2ccc(O)cc2)cc(OC)c2c1oc1cc(O)c(O)cc12,-8.8,-8.2,-9.0,-10.1,-9.5,-10.3,-7.2,-4.2,-9.0,-7.2,-6.8,-8.3,-9.7,-9.3,0.0,-7.6,-7.3,-9.5,-9.5,-9.5,-5.6,-8.4,-8.9,-8.4,-8.3,-8.9,-9.1,-9.5,-8.8,-9.5,-10.1,-9.4,-8.0,-6.4,-5.1,-7.6,-8.2,-8.7,-6.2,-9.3,-6.7,-7.0,-8.7,-7.3
C/C=C\C(=O)O[C@@H]1[C@@H](O)[C@H]2O[C@@H]3C=C(C)[C@@H](O)C[C@]3(C)[C@]1(C)[C@]21CO1,-9.0,-7.4,-7.0,-8.5,-8.0,-6.3,-2.0,-4.7,-8.6,-6.1,-5.6,-7.7,-9.8,-8.2,0.0,-7.2,-7.7,-9.2,-9.1,-9.3,-6.2,-6.9,-6.6,-7.0,-7.8,-6.7,-6.9,-7.7,-8.7,-7.7,-7.6,-7.4,-6.7,-7.6,-4.9,-8.8,-7.6,-7.9,-1.9,-8.9,-6.6,-6.3,-8.1,-7.4
CCCCCCC/C=C/C(=O)N1C(=O)C(C(C)=O)=C(O)[C@H]1CC(C)C,-7.0,-7.3,-7.1,-8.0,-7.6,-7.3,-6.1,-6.7,-7.6,-7.7,-7.6,-7.6,-8.9,-7.4,0.0,-6.3,-7.6,-7.4,-7.3,-8.2,-5.0,-7.6,-8.7,-6.7,-6.9,-6.9,-8.3,-7.0,-7.2,-7.8,-6.9,-8.5,-6.3,-7.9,-6.8,-7.1,-6.7,-7.2,-4.2,-8.3,-6.6,-7.2,-7.4,-5.4
COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,-8.1,-7.4,-7.2,-7.5,-7.4,-7.2,-4.2,-6.8,-8.0,-8.1,-5.3,-6.6,-9.4,-7.7,0.0,-7.1,-8.3,-7.8,-7.4,-7.4,-4.7,-6.8,-8.0,-6.3,-6.3,-6.4,-8.3,-8.0,-8.3,-7.6,-7.6,-8.3,-5.9,-7.9,-7.2,-6.9,-6.5,-7.3,-4.3,-7.7,-6.9,-6.8,-7.7,-5.9
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@H]1[C@@H](O2)O[C@@H](O)[C@@H]1O,-10.0,-8.7,-9.3,-8.9,-9.3,-9.9,-7.1,-4.7,-8.9,-7.4,-6.8,-8.7,-9.9,-9.3,0.0,-7.6,-8.1,-10.3,-9.1,-8.0,-5.9,-8.6,-9.8,-8.4,-8.6,-8.6,-10.2,-9.1,-8.9,-9.6,-9.9,-10.2,-8.3,-8.8,-8.2,-8.5,-7.9,-9.1,-4.4,-9.7,-7.1,-6.7,-8.8,-7.2
COc1ccc(CCC(=O)Cc2cc(OC)c(OC)c(OC)c2)cc1,-6.8,-7.4,-8.0,-8.2,-7.5,-8.1,-8.0,-6.6,-7.9,-7.1,-7.3,-6.9,-9.2,-7.4,0.0,-6.2,-7.0,-7.6,-7.5,-8.0,-4.7,-8.0,-8.2,-6.5,-7.0,-7.1,-7.7,-7.7,-6.8,-7.3,-7.2,-8.8,-6.5,-7.9,-7.3,-6.9,-6.3,-7.4,-5.8,-8.1,-6.6,-6.6,-8.4,-5.0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@]1(O)[C@@H](O2)O[C@@H]2O[C@@H]21,-9.4,-8.9,-9.6,-9.1,-9.8,-11.4,-6.6,-5.6,-8.9,-10.2,-6.7,-8.6,-10.3,-10.0,0.0,-8.2,-8.5,-9.9,-9.5,-8.8,-6.2,-8.5,-10.8,-8.8,-9.0,-8.4,-10.2,-9.8,-9.5,-9.5,-9.5,-10.0,-8.8,-8.7,-7.3,-8.3,-8.1,-9.0,-5.6,-9.7,-7.2,-7.4,-9.3,-7.5
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)[C@H]1[C@@H](O2)O[C@@H]2O[C@@H]21,-9.6,-9.2,-9.8,-9.0,-9.8,-11.5,-7.1,-4.0,-9.2,-8.2,-6.2,-8.6,-9.6,-9.4,0.0,-7.7,-8.6,-10.2,-9.6,-9.3,-6.3,-8.8,-11.0,-8.0,-9.0,-8.5,-10.1,-9.4,-9.3,-10.6,-10.3,-9.6,-8.5,-9.0,-7.4,-8.7,-8.1,-9.1,-5.6,-9.8,-6.8,-6.5,-8.8,-7.5
COc1c(O)c2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1CCO[C@@H]1O2,-7.2,-8.7,-10.1,-11.0,-10.9,-9.7,-5.9,-5.4,-9.8,-8.7,-7.8,-8.5,-10.7,-9.7,0.0,-8.6,-8.8,-9.3,-9.1,-8.8,-6.0,-9.1,-10.3,-8.5,-9.2,-8.0,-10.5,-9.8,-9.6,-9.8,-8.4,-9.2,-8.1,-7.7,-9.0,-8.5,-8.6,-9.2,-6.3,-8.9,-6.7,-6.2,-8.5,-7.2
CS[C@]1(C)C(=O)N2[C@H]3C(=CC=C[C@@H]3O)C[C@@]2(SC)C(=O)N1C,-8.0,-6.4,-6.8,-8.2,-7.5,-5.7,0.0,-1.7,-8.0,-5.9,-5.6,-6.9,-8.0,-7.2,0.0,-6.5,-7.0,-8.2,-7.2,-7.2,-4.7,-7.0,-5.6,-6.6,-6.8,-6.6,-6.0,-7.7,-7.7,-6.9,-7.4,-6.8,-5.9,-6.6,-4.2,-7.7,-6.7,-7.1,-1.1,-7.6,-5.5,-5.4,-7.6,-6.0
CC(C)=CCOc1c(C)cc2oc3cccc(O)c3c(=O)c2c1CO,-9.1,-8.4,-8.4,-9.0,-9.3,-9.7,-10.6,-7.1,-8.6,-8.8,-7.4,-8.5,-10.1,-9.2,0.0,-8.1,-8.5,-9.4,-9.5,-9.0,-6.3,-8.8,-9.5,-8.7,-8.0,-8.5,-9.5,-8.9,-9.5,-9.7,-8.8,-10.2,-7.7,-9.1,-6.8,-8.7,-7.6,-9.0,-5.1,-9.5,-7.1,-7.4,-8.5,-7.4
COc1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@H]1OCC[C@@H]41,-7.2,-8.5,-9.5,-9.5,-9.6,-9.7,-8.9,-1.9,-8.2,-7.8,-6.5,-8.8,-9.3,-9.3,0.0,-8.0,-9.3,-9.6,-9.3,-8.9,-5.9,-8.7,-9.5,-8.3,-8.4,-8.3,-10.4,-9.5,-9.0,-10.0,-8.8,-9.2,-7.9,-7.6,-7.1,-9.1,-8.3,-8.9,-5.0,-10.3,-7.5,-6.9,-9.3,-7.0
COc1cc2c(c3oc4c(O)ccc(O)c4c(=O)c13)[C@@H]1C=CO[C@@H]1O2,-7.3,-9.0,-9.1,-10.2,-9.9,-10.0,-7.5,-3.9,-9.5,-8.4,-6.2,-8.3,-10.5,-9.6,0.0,-8.1,-8.1,-10.0,-9.0,-9.3,-6.1,-8.8,-9.4,-8.0,-8.6,-8.4,-9.7,-9.5,-10.1,-9.9,-8.4,-9.7,-8.6,-8.0,-9.5,-8.2,-8.3,-9.5,-6.2,-9.4,-6.8,-6.3,-7.8,-7.2
COc1cc(O)c(C(=O)c2c(C)cc(O)cc2OC)c(O)c1Cl,-7.6,-7.2,-6.9,-7.8,-7.4,-6.9,-7.9,-7.4,-7.7,-7.6,-5.3,-6.9,-9.1,-7.5,0.0,-6.6,-8.1,-8.0,-7.2,-7.9,-4.9,-7.4,-6.8,-6.2,-6.9,-6.9,-7.8,-8.2,-7.3,-7.2,-7.5,-8.4,-5.8,-7.4,-6.6,-6.9,-6.5,-7.2,-4.9,-8.1,-6.1,-7.0,-7.2,-6.1
COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)cc1,-7.8,-8.0,-8.3,-8.7,-9.4,-9.2,-6.0,-4.5,-7.7,-6.0,-7.3,-7.7,-9.5,-8.8,0.0,-7.4,-6.9,-8.5,-8.7,-9.3,-5.9,-8.3,-8.7,-7.5,-7.6,-8.5,-8.2,-8.2,-7.8,-8.8,-8.5,-10.1,-7.3,-6.3,-6.0,-7.3,-7.3,-8.1,-4.9,-8.9,-6.5,-7.5,-7.8,-6.9
CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)C[C@@]2(C)[C@]12CO2,-7.9,-7.5,-7.2,-7.9,-7.8,-7.5,0.0,-4.9,-8.0,-6.1,-6.1,-6.8,-9.1,-7.4,0.0,-6.8,-7.5,-8.5,-8.3,-6.4,-5.0,-5.9,-7.0,-6.4,-7.6,-6.6,-5.8,-7.5,-8.2,-7.1,-6.9,-6.9,-6.5,-6.4,-3.7,-7.2,-7.0,-7.1,-1.7,-7.8,-6.1,-4.6,-7.9,-7.3
CC(=O)O[C@@H]1C[C@]2(C)[C@@]3(CO)[C@H](O)C(=O)C(C)=C[C@H]3O[C@H]1[C@@]21CO1,-7.8,-7.7,-7.1,-7.9,-7.4,-5.7,-0.4,-1.8,-7.2,-6.0,-5.9,-7.2,-8.4,-7.2,0.0,-6.2,-7.7,-8.0,-8.0,-6.5,-5.1,-6.2,-5.9,-6.5,-6.8,-6.2,-5.9,-6.9,-7.6,-7.3,-6.9,-6.8,-6.1,-7.4,-3.9,-7.5,-7.1,-7.0,-0.7,-8.3,-6.0,-5.5,-7.6,-7.3
COc1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@H]1OC=C[C@@H]41,-7.7,-8.6,-9.6,-9.7,-9.7,-10.1,-9.0,-3.0,-8.9,-8.7,-6.3,-9.1,-10.5,-9.5,0.0,-8.0,-9.8,-9.5,-9.5,-9.2,-5.9,-9.3,-9.3,-8.8,-8.6,-8.5,-9.7,-9.7,-9.1,-9.6,-9.0,-9.2,-8.0,-7.5,-7.2,-8.8,-8.1,-8.8,-4.4,-10.2,-7.1,-6.8,-8.6,-7.0
C/C=C\C(=O)O[C@@H]1C[C@H]2O[C@@H]3C=C(CO)CC[C@]3(C)[C@]1(C)[C@]21CO1,-8.9,-8.6,-7.6,-8.0,-8.0,-7.2,-2.4,-4.9,-8.1,-6.2,-5.1,-8.2,-9.6,-8.1,0.0,-7.3,-8.5,-8.8,-9.1,-8.5,-5.5,-6.6,-8.2,-7.5,-7.9,-6.5,-6.4,-8.1,-8.1,-8.0,-7.8,-7.0,-6.5,-6.0,-4.4,-8.1,-7.7,-7.3,-2.5,-8.5,-6.4,-6.1,-8.2,-7.4
C/C=C\C(=O)O[C@@H]1C[C@H]2O[C@@H]3C=C(C)[C@@H](O)C[C@]3(C)[C@]1(C)[C@]21CO1,-9.5,-7.8,-7.7,-8.9,-8.0,-7.6,-1.9,-5.7,-8.5,-6.5,-5.5,-7.1,-9.2,-8.3,-0.8,-6.9,-8.1,-9.0,-9.0,-9.6,-6.2,-7.1,-7.6,-7.7,-8.0,-6.8,-6.8,-7.7,-8.2,-7.9,-7.4,-7.5,-6.7,-7.8,-6.2,-8.6,-7.0,-8.0,-4.0,-8.6,-6.7,-6.1,-8.5,-7.0
C[C@H]1C[C@@H](O)CC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,-8.0,-8.5,-9.2,-8.9,-9.5,-8.4,-1.0,-5.7,-9.5,-7.5,-5.5,-7.9,-8.9,-9.8,0.0,-7.5,-8.6,-10.1,-8.2,-8.9,-7.1,-8.7,-6.1,-8.0,-8.1,-7.5,-9.7,-8.6,-9.3,-9.4,-8.7,-8.0,-9.2,-9.2,-6.1,-8.0,-9.0,-8.9,0.0,-9.1,-7.9,-5.9,-9.4,-7.2
C/C=C\C(=O)O[C@@H]1C[C@H]2O[C@@H]3C=C(C)[C@@H]4O[C@@H]4[C@]3(C)[C@]1(C)[C@]21CO1,-9.3,-7.7,-7.9,-8.5,-8.0,-7.8,-1.9,-4.9,-8.7,-6.6,-5.9,-6.9,-10.5,-8.1,0.0,-7.3,-7.7,-9.4,-9.0,-8.4,-5.9,-7.1,-7.0,-6.7,-7.6,-6.9,-6.5,-8.6,-8.4,-7.7,-7.1,-7.3,-7.0,-6.0,-2.7,-8.1,-8.0,-7.5,-0.9,-9.1,-6.9,-6.0,-8.4,-7.3
COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1O,-8.0,-7.9,-7.0,-7.8,-7.8,-6.5,-6.0,-6.4,-8.1,-8.0,-5.5,-6.9,-9.4,-7.5,-2.5,-6.5,-7.4,-8.1,-7.8,-7.5,-4.8,-7.4,-6.5,-6.7,-7.5,-7.4,-7.5,-8.4,-8.0,-7.1,-7.1,-8.4,-6.3,-7.7,-8.1,-6.9,-6.6,-7.1,-4.1,-7.8,-5.9,-6.4,-6.9,-6.2
C[C@H]1C=C[C@H]2CCCC[C@H]2[C@@H]1c1cc(NCCO)c(C=O)c(=O)o1,-8.5,-8.1,-7.9,-8.8,-8.7,-7.9,-7.6,-6.8,-8.9,-7.8,-5.2,-7.7,-9.9,-8.9,-2.8,-7.3,-8.1,-8.8,-8.8,-9.1,-5.5,-7.7,-9.0,-7.2,-8.2,-6.9,-8.7,-8.7,-8.8,-7.7,-8.0,-8.1,-7.2,-8.8,-6.9,-7.8,-7.5,-7.7,-3.8,-9.3,-7.7,-8.0,-9.3,-6.1
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)[C@@H]1CCO[C@@H]1O2,-9.1,-8.5,-8.6,-8.6,-9.1,-7.5,-5.5,-5.4,-9.4,-8.6,-6.1,-8.7,-9.6,-8.9,0.0,-7.5,-9.2,-9.5,-7.7,-9.1,-6.1,-8.6,-9.7,-7.6,-8.7,-8.0,-10.2,-9.7,-10.1,-8.9,-9.1,-8.2,-7.6,-9.9,-8.1,-8.2,-8.1,-8.5,-4.1,-10.0,-6.9,-6.2,-8.1,-7.3
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@]1(O)CCO[C@@H]1O2,-8.2,-8.9,-10.1,-9.1,-9.4,-10.7,-6.9,-6.3,-9.8,-8.6,-6.7,-8.7,-10.1,-9.5,0.0,-7.4,-8.5,-9.6,-9.1,-9.4,-6.4,-9.5,-10.1,-8.2,-8.7,-8.1,-9.8,-9.7,-9.2,-9.3,-9.1,-9.4,-8.4,-9.7,-7.3,-8.0,-7.9,-9.1,-5.2,-9.2,-6.9,-8.1,-9.1,-7.1
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@H]1[C@@H](O2)O[C@H]2O[C@H]21,-9.7,-8.8,-9.5,-9.2,-9.4,-11.0,-6.5,-5.3,-9.9,-9.9,-6.6,-8.4,-10.4,-10.4,-1.0,-7.9,-9.4,-10.0,-9.6,-9.2,-6.5,-8.5,-11.2,-8.9,-8.9,-8.7,-10.4,-10.4,-9.5,-9.9,-10.2,-10.4,-8.7,-9.9,-7.3,-8.6,-8.4,-9.0,-6.1,-9.7,-7.5,-8.1,-9.1,-7.7
